algorithm,status,expected_return,annual_volatility,sharpe_ratio,AAPL,MSFT,GOOGL,AMZN,NVDA
markowitz,OPTIMAL,0.2724,0.2022,1.0998,0.2000,0.2000,0.2000,0.2000,0.2000
min_variance,OPTIMAL,0.2724,0.2022,1.0998,0.2000,0.2000,0.2000,0.2000,0.2000
max_sharpe,OPTIMAL,0.2724,0.2022,1.0998,0.2000,0.2000,0.2000,0.2000,0.2000
risk_parity,OPTIMAL,0.2724,0.2022,1.0998,0.2000,0.2000,0.2000,0.2000,0.2000
hrp,OPTIMAL,0.2706,0.1961,1.1245,0.2472,0.2387,0.1656,0.1390,0.2095
cvar,OPTIMAL,0.2724,0.2022,1.0998,0.2000,0.2000,0.2000,0.2000,0.2000
